SN,Sample Designation,Cast Density [kg/m3],Water / Cement Ratio,% of Pozzolain,Porosity,Moisture %,Hydration Day,Thermal Conductivity of CBF
1,RF,800,0.69,0,53.5,9.23,60,0.245
2,RF,800,0.69,0,53.5,9.23,60,0.23
3,RF,800,0.69,0,53.5,9.23,60,0.23
4,RF,800,0.69,0,53.5,9.23,60,0.245
5,RF,800,0.69,0,53.5,9.23,60,0.232
6,RF,800,0.69,0,53.5,9.23,60,0.245
7,RF,600,0.69,0,65.77,7.24,60,0.159
8,RF,600,0.69,0,65.77,7.24,60,0.161
9,RF,600,0.69,0,65.77,7.24,60,0.158
10,RF,600,0.69,0,65.77,7.24,60,0.16
11,RF,600,0.69,0,65.77,7.24,60,0.156
12,RF,600,0.69,0,65.77,7.24,60,0.155
13,RF,400,0.69,0,79.6,5.93,60,0.099
14,RF,400,0.69,0,79.6,5.93,60,0.103
15,RF,400,0.69,0,79.6,5.93,60,0.097
16,RF,400,0.69,0,79.6,5.93,60,0.098
17,RF,400,0.69,0,79.6,5.93,60,0.099
18,RF,400,0.69,0,79.6,5.93,60,0.096
19,FA10%,800,0.69,0.1,62.2,9.8,60,0.245
20,FA10%,800,0.69,0.1,62.2,9.8,60,0.234
21,FA10%,800,0.69,0.1,62.2,9.8,60,0.238
22,FA10%,800,0.69,0.1,62.2,9.8,60,0.236
23,FA10%,800,0.69,0.1,62.2,9.8,60,0.239
24,FA10%,800,0.69,0.1,62.2,9.8,60,0.228
25,FA10%,600,0.69,0.1,71.4,8.36,60,0.159
26,FA10%,600,0.69,0.1,71.4,8.36,60,0.164
27,FA10%,600,0.69,0.1,71.4,8.36,60,0.164
28,FA10%,600,0.69,0.1,71.4,8.36,60,0.167
29,FA10%,600,0.69,0.1,71.4,8.36,60,0.161
30,FA10%,600,0.69,0.1,71.4,8.36,60,0.162
31,FA10%,400,0.69,0.1,80,7.06,60,0.106
32,FA10%,400,0.69,0.1,80,7.06,60,0.109
33,FA10%,400,0.69,0.1,80,7.06,60,0.11
34,FA10%,400,0.69,0.1,80,7.06,60,0.107
35,FA10%,400,0.69,0.1,80,7.06,60,0.112
36,FA10%,400,0.69,0.1,80,7.06,60,0.102
37,FA20%,800,0.69,0.2,67.7,9.71,60,0.226
38,FA20%,800,0.69,0.2,67.7,9.71,60,0.221
39,FA20%,800,0.69,0.2,67.7,9.71,60,0.224
40,FA20%,800,0.69,0.2,67.7,9.71,60,0.225
41,FA20%,800,0.69,0.2,67.7,9.71,60,0.225
42,FA20%,800,0.69,0.2,67.7,9.71,60,0.22
43,FA20%,600,0.69,0.2,73.5,8.02,60,0.152
44,FA20%,600,0.69,0.2,73.5,8.02,60,0.146
45,FA20%,600,0.69,0.2,73.5,8.02,60,0.154
46,FA20%,600,0.69,0.2,73.5,8.02,60,0.154
47,FA20%,600,0.69,0.2,73.5,8.02,60,0.153
48,FA20%,600,0.69,0.2,73.5,8.02,60,0.152
49,FA20%,400,0.69,0.2,82.2,6.21,60,0.09
50,FA20%,400,0.69,0.2,82.2,6.21,60,0.09
51,FA20%,400,0.69,0.2,82.2,6.21,60,0.085
52,FA20%,400,0.69,0.2,82.2,6.21,60,0.09
53,FA20%,400,0.69,0.2,82.2,6.21,60,0.083
54,FA20%,400,0.69,0.2,82.2,6.21,60,0.09
55,SF10%,800,0.69,0.1,66.19,11.26,60,0.213
56,SF10%,800,0.69,0.1,66.19,11.26,60,0.216
57,SF10%,800,0.69,0.1,66.19,11.26,60,0.221
58,SF10%,800,0.69,0.1,66.19,11.26,60,0.218
59,SF10%,800,0.69,0.1,66.19,11.26,60,0.227
60,SF10%,800,0.69,0.1,66.19,11.26,60,0.213
61,SF10%,600,0.69,0.1,74.53,9.48,60,0.143
62,SF10%,600,0.69,0.1,74.53,9.48,60,0.143
63,SF10%,600,0.69,0.1,74.53,9.48,60,0.143
64,SF10%,600,0.69,0.1,74.53,9.48,60,0.137
65,SF10%,600,0.69,0.1,74.53,9.48,60,0.139
66,SF10%,600,0.69,0.1,74.53,9.48,60,0.138
67,SF10%,400,0.69,0.1,84.1,8.2,60,0.098
68,SF10%,400,0.69,0.1,84.1,8.2,60,0.097
69,SF10%,400,0.69,0.1,84.1,8.2,60,0.1
70,SF10%,400,0.69,0.1,84.1,8.2,60,0.094
71,SF10%,400,0.69,0.1,84.1,8.2,60,0.096
72,SF10%,400,0.69,0.1,84.1,8.2,60,0.096
73,SF20%,800,0.69,0.2,55.2,9.75,60,0.193
74,SF20%,800,0.69,0.2,55.2,9.75,60,0.212
75,SF20%,800,0.69,0.2,55.2,9.75,60,0.202
76,SF20%,800,0.69,0.2,55.2,9.75,60,0.206
77,SF20%,800,0.69,0.2,55.2,9.75,60,0.205
78,SF20%,800,0.69,0.2,55.2,9.75,60,0.203
79,SF20%,600,0.69,0.2,69.14,5.5,60,0.121
80,SF20%,600,0.69,0.2,69.14,5.5,60,0.126
81,SF20%,600,0.69,0.2,69.14,5.5,60,0.128
82,SF20%,600,0.69,0.2,69.14,5.5,60,0.121
83,SF20%,600,0.69,0.2,69.14,5.5,60,0.126
84,SF20%,600,0.69,0.2,69.14,5.5,60,0.12
85,SF20%,400,0.69,0.2,77.42,3.95,60,0.092
86,SF20%,400,0.69,0.2,77.42,3.95,60,0.091
87,SF20%,400,0.69,0.2,77.42,3.95,60,0.088
88,SF20%,400,0.69,0.2,77.42,3.95,60,0.088
89,SF20%,400,0.69,0.2,77.42,3.95,60,0.089
90,SF20%,400,0.69,0.2,77.42,3.95,60,0.091
91,MK10%,800,0.69,0.1,62.84,9.79,60,0.239
92,MK10%,800,0.69,0.1,62.84,9.79,60,0.241
93,MK10%,800,0.69,0.1,62.84,9.79,60,0.232
94,MK10%,800,0.69,0.1,62.84,9.79,60,0.233
95,MK10%,800,0.69,0.1,62.84,9.79,60,0.232
96,MK10%,800,0.69,0.1,62.84,9.79,60,0.238
97,MK10%,600,0.69,0.1,71.19,8.79,60,0.154
98,MK10%,600,0.69,0.1,71.19,8.79,60,0.146
99,MK10%,600,0.69,0.1,71.19,8.79,60,0.153
100,MK10%,600,0.69,0.1,71.19,8.79,60,0.15
101,MK10%,600,0.69,0.1,71.19,8.79,60,0.152
102,MK10%,600,0.69,0.1,71.19,8.79,60,0.154
103,MK10%,400,0.69,0.1,80,7.9,60,0.094
104,MK10%,400,0.69,0.1,80,7.9,60,0.099
105,MK10%,400,0.69,0.1,80,7.9,60,0.095
106,MK10%,400,0.69,0.1,80,7.9,60,0.093
107,MK10%,400,0.69,0.1,80,7.9,60,0.096
108,MK10%,400,0.69,0.1,80,7.9,60,0.093
109,MK20%,800,0.69,0.2,64.06,11.97,60,0.262
110,MK20%,800,0.69,0.2,64.06,11.97,60,0.241
111,MK20%,800,0.69,0.2,64.06,11.97,60,0.241
112,MK20%,800,0.69,0.2,64.06,11.97,60,0.265
113,MK20%,800,0.69,0.2,64.06,11.97,60,0.255
114,MK20%,800,0.69,0.2,64.06,11.97,60,0.236
115,MK20%,600,0.69,0.2,73.44,9.54,60,0.157
116,MK20%,600,0.69,0.2,73.44,9.54,60,0.158
117,MK20%,600,0.69,0.2,73.44,9.54,60,0.178
118,MK20%,600,0.69,0.2,73.44,9.54,60,0.176
119,MK20%,600,0.69,0.2,73.44,9.54,60,0.175
120,MK20%,600,0.69,0.2,73.44,9.54,60,0.17
121,MK20%,400,0.69,0.2,83.08,8.2,60,0.096
122,MK20%,400,0.69,0.2,83.08,8.2,60,0.1
123,MK20%,400,0.69,0.2,83.08,8.2,60,0.092
124,MK20%,400,0.69,0.2,83.08,8.2,60,0.097
125,MK20%,400,0.69,0.2,83.08,8.2,60,0.099
126,MK20%,400,0.69,0.2,83.08,8.2,60,0.1
127,RF,800,0.69,0,53.5,8.9,120,0.221
128,RF,800,0.69,0,53.5,8.9,120,0.205
129,RF,800,0.69,0,53.5,8.9,120,0.208
130,RF,800,0.69,0,53.5,8.9,120,0.237
131,RF,800,0.69,0,53.5,8.9,120,0.222
132,RF,800,0.69,0,53.5,8.9,120,0.222
133,RF,600,0.69,0,65.77,6.76,120,0.149
134,RF,600,0.69,0,65.77,6.76,120,0.127
135,RF,600,0.69,0,65.77,6.76,120,0.151
136,RF,600,0.69,0,65.77,6.76,120,0.144
137,RF,600,0.69,0,65.77,6.76,120,0.142
